TitleID,Region,Title versions,Update versions
0004009B00014202,USA,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014202,JPN,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014202,KOR,v1024,4.0.0-7
0004009B00014202,EUR,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014202,TWN,v1024,4.1.0-8
0004009B00014302,CHN,v1024,4.0.0-7
0004009B00014302,USA,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014302,JPN,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014302,KOR,v1024,4.0.0-7
0004009B00014302,EUR,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014302,TWN,v1024,4.1.0-8
0004009B00015302,USA,v0,2.0.0-2 Initial scan
000400DB00010302,CHN,v3072 v4096 v5120 v6144 v7168 v8192,4.0.0-7 4.3.0-10 5.0.0-11 9.0.0-20 (stage2) 9.3.0-21 (stage4) 9.6.0-24
000400DB00010302,USA,v1024 v2052 v3072 v4096 v5120 v6144 v7168 v8192,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.3.0-10 5.0.0-11 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24
000400DB00010302,JPN,v1024 v2052 v3072 v4096 v5120 v6144 v7168 v8192,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.3.0-10 5.0.0-11 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24
000400DB00010302,KOR,v3072 v4096 v5120 v6144 v7168 v8192,4.0.0-7 4.3.0-10 5.0.0-11 9.0.0-20 9.3.0-21 (stage2) 9.6.0-24
000400DB00010302,EUR,v1024 v2052 v3072 v4096 v5120 v6144 v7168 v8192,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.3.0-10 5.0.0-11 9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24
000400DB00010302,TWN,v3072 v4096 v5120 v6144 v7168 v8192,4.1.0-8 4.3.0-10 5.0.0-11 9.0.0-20 (stage4) 9.3.0-21 (stage5) 9.6.0-24
000400DB00010502,CHN,v3073 v4096 v5120 v6144 v7169 v8192 v9216 v10242 v11267 v12288 v14336 v15360 v16386 v17409 v18432,4.0.0-7 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 6.0.0-11 6.2.0-12 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 (stage2) 9.3.0-21 (stage4) 9.6.0-24 10.0.0-27 10.4.0-29
000400DB00010502,USA,v1024 v2048 v3073 v4096 v5120 v6144 v7169 v8192 v9216 v10242 v11267 v12288 v14336 v15360 v16386 v17409 v18432,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 6.0.0-11 6.2.0-12 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 10.0.0-27 10.4.0-29
000400DB00010502,JPN,v1024 v2048 v3073 v4096 v5120 v6144 v7169 v8192 v9216 v10242 v11267 v12288 v14336 v15360 v16386 v17409 v18432,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 6.0.0-11 6.2.0-12 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 10.0.0-27 10.4.0-29
000400DB00010502,KOR,v3073 v4096 v5120 v6144 v7169 v8192 v9216 v10242 v11267 v12288 v14336 v15360 v16386 v17409 v18432,4.0.0-7 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 6.0.0-11 6.2.0-12 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27 10.4.0-29
000400DB00010502,EUR,v1024 v2048 v3073 v4096 v5120 v6144 v7169 v8192 v9216 v10242 v11267 v12288 v14336 v15360 v16386 v17409 v18432,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 6.0.0-11 6.2.0-12E 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27 10.4.0-29
000400DB00010502,TWN,v3073 v4096 v5120 v6144 v7169 v8192 v9216 v10242 v11267 v12288 v14336 v15360 v16386 v17409 v18432,4.1.0-8 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 6.0.0-11 6.2.0-12 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 (stage4) 9.3.0-21 (stage5) 9.6.0-24 10.0.0-27 10.4.0-29
