TitleID,Region,Title versions,Update versions
0004013000003702,CHN,v5120 v6148,9.0.0-20 9.3.0-21 (stage2)
0004013000003702,USA,v5120 v6148,9.0.0-20 (stage2) 9.3.0-21 (stage2)
0004013000003702,JPN,v5120 v6148,9.0.0-20 (stage3) 9.3.0-21 (stage2)
0004013000003702,KOR,v6148,9.3.0-21 (stage1)
0004013000003702,EUR,v5120 v6148,9.0.0-20 9.3.0-21 (stage3)
0004013000003702,TWN,v5120 v6148,9.0.0-20 9.3.0-21 (stage1)
0004013000008002,CHN,v14336 v15360 v16390 v17408 v18433 v19458,9.0.0-20 9.3.0-21 (stage2) 9.6.0-24 9.8.0-25 10.0.0-27 10.4.0-29
0004013000008002,USA,v14336 v15360 v16390 v17408 v18433 v19458,9.0.0-20 (stage2) 9.3.0-21 (stage2) 9.6.0-24 9.8.0-25 10.0.0-27 10.4.0-29
0004013000008002,JPN,v14336 v15360 v16390 v17408 v18433 v19458,9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24 9.8.0-25 10.0.0-27 10.4.0-29
0004013000008002,KOR,v15360 v16390 v17408 v18433 v19458,9.3.0-21 (stage1) 9.6.0-24 9.8.0-25 10.0.0-27 10.4.0-29
0004013000008002,EUR,v14336 v15360 v16390 v17408 v18433 v19458,9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 9.8.0-25 10.0.0-27 10.4.0-29
0004013000008002,TWN,v14336 v15360,9.0.0-20 9.3.0-21 (stage1)
0004800542383841,CHN,v2048,9.7.0-25
0004800542383841,USA,v2048,9.7.0-25
0004800542383841,JPN,v2048,9.7.0-25
0004800542383841,KOR,v2048,9.7.0-25
0004800542383841,EUR,v2048,9.7.0-25
00048005484E4441,USA,v1024,9.7.0-25
00048005484E4441,JPN,v1024,9.7.0-25
00048005484E4441,EUR,v1024,9.7.0-25
0004800F484E4841,CHN,v11264,9.7.0-25
0004800F484E4841,USA,v11264,9.7.0-25
0004800F484E4841,JPN,v11264,9.7.0-25
0004800F484E4841,KOR,v11264,9.7.0-25
0004800F484E4841,EUR,v11264,9.7.0-25
0004001000022000,EUR,v8202 v9220,9.0.0-20 9.6.0-24
0004001000022100,EUR,v3073,9.0.0-20
0004001000022400,EUR,v4097,9.0.0-20
0004001000022900,EUR,v13320 v15366 v16384 v17421 v18432 v19465 v20482 v21505,9.0.0-20 9.3.0-21 (stage3) 9.5.0-22 9.6.0-24 9.7.0-25 10.0.0-27 10.4.0-29 10.7.0-32
0004001000022A00,EUR,v5131 v6155,9.0.0-20 9.6.0-24
0004003000009802,EUR,v11272 v12288 v13330 v15360 v16404 v17415 v19456 v20480 v21504 v22528 v23554 v24576,9.0.0-20 9.2.0-20 9.3.0-21 (stage3) 9.5.0-22 9.6.0-24 9.7.0-25 9.8.0-25 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.6.0-31
0004003000009902,EUR,v2049,9.0.0-20
0004003000009B02,EUR,v5120,9.0.0-20
0004003000009C02,EUR,v4096,9.0.0-20
0004003000009F02,EUR,v6144,9.0.0-20
000400300000A002,EUR,v4097,9.0.0-20
000400300000D002,EUR,v4096,9.0.0-20
000400300000D102,EUR,v2048 v3077,9.0.0-20 9.3.0-21 (stage3)
000400300000D302,EUR,v3075 v4096,9.0.0-20 9.3.0-21 (stage3)
000400300000D402,EUR,v2048,9.0.0-20
0004009B00012102,EUR,v9220 v10242 v11268 v12289 v13313,9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 10.0.0-27 10.4.0-29
0004009B00013102,EUR,v5120 v6144 v7168,9.0.0-20 9.9.0-26 10.4.0-29
000400DB00017102,EUR,v9218 v9248 v9264 v9296 v9319 v9328 v9344 v9360 v10240 v10256 v10272 v10288 v10304 v10320 v10336 v10352 v11264,9.0.0-20 9.2.0-20 9.3.0-21 (stage3) 9.5.0-22 9.6.0-24 9.7.0-25 9.8.0-25 9.9.0-26 10.0.0-27 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.5.0-30 10.6.0-31 10.7.0-32 11.0.0-33
0004001000020000,JPN,v9224 v10245 v10256,9.0.0-20 (stage3) 9.6.0-24 10.6.0-31
0004001000020100,JPN,v3072,9.0.0-20 (stage3)
0004001000020200,JPN,v2080,10.6.0-31
0004001000020400,JPN,v4097 v4112,9.0.0-20 (stage3) 10.6.0-31
0004001000020500,JPN,v3104,10.6.0-31
0004001000020700,JPN,v2064,10.6.0-31
0004001000020900,JPN,v13320 v15366 v16384 v17421 v18432 v19465 v20483 v21504,9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.5.0-22 9.6.0-24 9.7.0-25 10.0.0-27 10.4.0-29 10.7.0-32
0004001000020A00,JPN,v5130 v6154,9.0.0-20 (stage3) 9.6.0-24
0004003000008202,JPN,v13313 v14336 v16402 v18432 v19476 v20487 v22528 v23552 v24576 v25600 v26626 v27648,9.0.0-20 (stage3) 9.1.0-20J 9.3.0-21 (stage2) 9.5.0-22 9.6.0-24 9.7.0-25 9.8.0-25 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.6.0-31
0004003000008402,JPN,v2049,9.0.0-20 (stage3)
0004003000008602,JPN,v5121,9.0.0-20 (stage3)
0004003000008702,JPN,v4097,9.0.0-20 (stage3)
0004003000008D02,JPN,v6144,9.0.0-20 (stage3)
0004003000008E02,JPN,v5121,9.0.0-20 (stage3)
000400300000C002,JPN,v4096,9.0.0-20 (stage3)
000400300000C102,JPN,v2048 v3077,9.0.0-20 (stage3) 9.3.0-21 (stage2)
000400300000C302,JPN,v3075 v4096,9.0.0-20 (stage3) 9.3.0-21 (stage2)
000400300000C402,JPN,v2048,9.0.0-20 (stage3)
0004009B00012202,JPN,v9217 v10240 v11268 v12290 v13312 v13313,9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27 10.4.0-29 10.7.0-32
000400DB00017202,JPN,v9218 v9232 v9264 v9296 v9319 v9328 v9344 v9360 v10240 v10256 v10272 v10288 v10304 v10320 v10336 v10352 v11264,9.0.0-20 (stage3) 9.1.0-20J 9.3.0-21 (stage2) 9.5.0-22 9.6.0-24 9.7.0-25 9.8.0-25 9.9.0-26 10.0.0-27 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.5.0-30 10.6.0-31 10.7.0-32 11.0.0-33
0004001B00010702,CHN,v4096,9.0.0-20
0004001B00010702,USA,v4096,9.0.0-20 (stage2)
0004001B00010702,JPN,v4096,9.0.0-20 (stage3)
0004001B00010702,KOR,v4096,9.3.0-21 (stage1)
0004001B00010702,EUR,v4096,9.0.0-20
0004001B00010702,TWN,v4096,9.0.0-20
000400300000CD02,USA,v3073,9.0.0-20 (stage2)
000400300000CD02,JPN,v3073,9.0.0-20 (stage3)
000400300000CD02,EUR,v3073,9.0.0-20
000400300000CE02,USA,v8200 v9224 v10247 v11264 v12293 v13312 v14337 v15360 v16384,9.0.0-20 (stage2) 9.3.0-21 (stage2) 9.6.0-24 9.8.0-25 10.0.0-27 10.1.0-27 10.3.0-28 10.4.0-29 10.7.0-32
000400300000D602,EUR,v8200 v9224 v10247 v11264 v12293 v13312 v14337 v15360 v16384,9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 9.8.0-25 10.0.0-27 10.1.0-27 10.3.0-28 10.4.0-29 10.7.0-32
000400300000C602,JPN,v8200 v9224 v10247 v11264 v12293 v13312 v14337 v15360 v16384,9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24 9.8.0-25 10.0.0-27 10.1.0-27 10.3.0-28 10.4.0-29 10.7.0-32
000400300000CF02,CHN,v1027,9.6.0-24
000400300000CF02,KOR,v1027,9.6.0-24
